epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,12296.6,0.92087,0.50085,0.85122,0.8992,0.77828,0.8534,0.58625,0.97317,0.49111,0.86809,0.00703,0.00703,0.00703
122,12412.3,0.91054,0.49618,0.85488,0.87996,0.79329,0.86033,0.58801,0.96169,0.48117,0.86508,0.00700525,0.00700525,0.00700525
123,12517.1,0.91684,0.49664,0.85248,0.91448,0.76249,0.85891,0.59225,0.95119,0.48501,0.86008,0.0069805,0.0069805,0.0069805
124,12615.2,0.91025,0.5043,0.85242,0.90445,0.77685,0.86015,0.58989,0.96456,0.49105,0.86542,0.00695575,0.00695575,0.00695575
125,12730.7,0.88286,0.48729,0.84902,0.90373,0.76392,0.8538,0.58478,0.96306,0.497,0.86174,0.006931,0.006931,0.006931
126,12835.8,0.8972,0.49033,0.8505,0.89062,0.77601,0.85492,0.58358,0.96674,0.50154,0.86153,0.00690625,0.00690625,0.00690625
127,12937.2,0.89733,0.48435,0.85298,0.92104,0.76333,0.85432,0.58681,0.96588,0.50214,0.86257,0.0068815,0.0068815,0.0068815
128,13049.4,0.87339,0.47903,0.84503,0.87866,0.78775,0.85682,0.58673,0.96228,0.49204,0.86183,0.00685675,0.00685675,0.00685675
129,13151.7,0.89566,0.4833,0.85132,0.90115,0.77248,0.85552,0.5861,0.96728,0.48394,0.86281,0.006832,0.006832,0.006832
130,13256.6,0.88247,0.48392,0.84865,0.87267,0.79921,0.85936,0.58646,0.96316,0.48558,0.86373,0.00680725,0.00680725,0.00680725
131,13368,0.88241,0.48124,0.84635,0.89518,0.78094,0.85858,0.58697,0.95903,0.48451,0.86248,0.0067825,0.0067825,0.0067825
132,13461.3,0.87583,0.48309,0.84555,0.90481,0.7735,0.85969,0.58894,0.95717,0.47683,0.863,0.00675775,0.00675775,0.00675775
133,13566,0.88324,0.48189,0.85058,0.89739,0.77773,0.86076,0.59086,0.96007,0.4747,0.86094,0.006733,0.006733,0.006733
134,13675.8,0.89125,0.48815,0.84706,0.87272,0.79957,0.86493,0.59248,0.95454,0.47407,0.86153,0.00670825,0.00670825,0.00670825
135,13781.2,0.88727,0.48419,0.84837,0.88489,0.7953,0.86238,0.58968,0.95727,0.47145,0.86017,0.0066835,0.0066835,0.0066835
136,13886.3,0.88144,0.47525,0.84916,0.90547,0.7844,0.86561,0.59312,0.95998,0.46714,0.86331,0.00665875,0.00665875,0.00665875
137,13992.1,0.88082,0.47395,0.85096,0.91258,0.77349,0.86603,0.59208,0.95604,0.47185,0.86377,0.006634,0.006634,0.006634
138,14095.5,0.87576,0.4704,0.84657,0.92549,0.75252,0.86129,0.59454,0.95044,0.47444,0.85956,0.00660925,0.00660925,0.00660925
139,14202.3,0.87799,0.4802,0.84498,0.92035,0.76579,0.86122,0.59105,0.95302,0.47548,0.85877,0.0065845,0.0065845,0.0065845
140,14310.1,0.88021,0.472,0.84365,0.89373,0.79195,0.86387,0.59465,0.95757,0.48496,0.86105,0.00655975,0.00655975,0.00655975
141,14407.3,0.85351,0.47061,0.84114,0.88198,0.79111,0.86061,0.59217,0.95654,0.48034,0.8617,0.006535,0.006535,0.006535
142,14513.1,0.85355,0.46246,0.84551,0.89167,0.78188,0.85842,0.591,0.95531,0.47756,0.86058,0.00651025,0.00651025,0.00651025
143,14620.5,0.84421,0.46553,0.83744,0.92197,0.75923,0.85943,0.59219,0.95824,0.48349,0.86301,0.0064855,0.0064855,0.0064855
144,14727.6,0.85844,0.46146,0.84432,0.93589,0.75923,0.86259,0.59169,0.95942,0.47999,0.86369,0.00646075,0.00646075,0.00646075
145,14835.1,0.86306,0.4746,0.84246,0.91565,0.77097,0.8635,0.59059,0.96474,0.48054,0.86768,0.006436,0.006436,0.006436
146,14940.5,0.8614,0.46566,0.83786,0.8957,0.78526,0.86126,0.5931,0.96481,0.47882,0.86613,0.00641125,0.00641125,0.00641125
147,15045,0.85662,0.46981,0.84303,0.90618,0.76977,0.86082,0.59227,0.96565,0.48598,0.8652,0.0063865,0.0063865,0.0063865
148,15152.2,0.85813,0.46955,0.8419,0.8862,0.784,0.86168,0.59245,0.96163,0.48538,0.86406,0.00636175,0.00636175,0.00636175
149,15264.2,0.85465,0.46168,0.84104,0.8875,0.78759,0.86317,0.5903,0.96152,0.48002,0.86601,0.006337,0.006337,0.006337
